북경짜장,"동해안로 651 (주전동, 59)"
만리장성 황궁쟁반짜장,"진성12길 89, 1층 (전하동)"
맥켄꼬꼬,대학길 142 (화정동)
대박양꼬치,진성10길 145 (전하동)
자연산회 장어구이,미포2길 8 (동부동)
해바라기,진성13길 96 (전하동)
BHC(비에이치씨),대송로 71-1 (일산동)
로즈힐,"옥류로 16 (동부동, 201-141)"
싱글벙글복집,옥류로 17-1 (서부동)
5000오천빈대떡,명덕5길 10 (서부동)
꿈꾸는돼지(남목점),옥류로 72 (동부동)
밀양식당,녹수7길 8 (전하동)
산너머강촌,미포4길 5 (동부동)
동양곱창,진성8길 123 (전하동)
자금성,"산록2길 20 (전하동, 752-9)"
100희(喜)골목짬뽕,미포4길 5 (동부동)
영풍치킨,동해안로 14 (서부동)
조밭골,"명덕5길 28 (서부동,(1층))"
참다래복집,번덕1길 12-5 (일산동)
돈부자,"진성2길 20 (전하동, 626-10)"
혼수상태식당,진성8길 111 (전하동)
더블유(W),전하로 26 (전하동)
장작(초벌)구이오겹살,미포1길 41 (동부동)
가배,"월봉로 51 (화정동, 647-4)"
별미식당,남목8길 15 (서부동)
현대분식,"방어진순환도로 985, 상가2동 (서부동, 현대패밀리서부아파트)"
대박터,미포4길 13 (동부동)
별난왕갈비,대송9길 20 (화정동)
동교정회식당,보밑길 58 (주전동)
스시상,진성8길 143 (전하동)
병천순대 꽃바위점,번덕8길 160 (일산동)
사계절고기한판,진성12길 148 (전하동)
조은날,남목6길 16 (서부동)
신토불이왕족발,대송1길 41 (화정동)
해양식당,화잠9길 17 (방어동)
똥개구이촌,전하로 21 (전하동)
막창뚱이,방어진순환도로 621 (일산동)
동구회관숯불갈비,학문로 99 (화정동)
티바 두마리치킨,산록9길 22 (전하동)
맛있는 통닭,월봉10다길 2 (화정동)
동해회냉면식당,옥류2길 17 (서부동)
영월동강분식,번덕8길 7 (일산동)
해오름,명덕5길 29 (서부동)
홍천닭갈비,명덕5길 13 (서부동)
진성순대식당,진성5길 4 (전하동)
홍초빈대떡,미포3길 4 (동부동)
돈신숯불구이,대학길 160 (화정동)
울산육회,전하로 24-1 (전하동)
돼지영농후계자,"전하로 48 (전하동, 550-97)"
순곱이네 전하점,전하로 20 (전하동)
황태칼국수,바드래길 100-1 (전하동)
현대횟집,주전해안길 110 (주전동)
포석정식당,학문로 27 (일산동)
순곱이네,대학길 170 (화정동)
자갈마당포차,화진길 37 (방어동)
수협구내식당,동진5길 71 (방어동)
별빛포차,전하로 20 (전하동)
복개천생아구,옥류로 10-1 (동부동)
싱글벙글횟집,대송로 20 (일산동)
청기와식육식당,화진1길 18 (방어동)
정통밀면손칼국수,미포4길 35 (동부동)
잎새바람 레스토랑,"학문로 36-1, 2층 (일산동)"
부 레스토랑,바드래1길 7 (전하동)
두산정식,번덕8길 63 (일산동)
오좌불식당,"진성3길 56, 가동 137, 138호 (전하동, 무지개상가)"
찐이야,학문로 29-1 (일산동)
맘스터치,문현2길 5 (방어동)
명품치킨 꾸번네(화정점),번덕로 27 (화정동)
비원,명덕3길 9 (서부동)
하오하오,문재5길 56 (방어동)
숯불치킨9289울산본점,화진길 107 (화정동)
투다리,동해안로 8 (서부동)
돈가정,명덕5길 12 (서부동)
동진일송초장,"성끝길 66 (방어동, 지상2층)"
어울림식당,대송로 13 (일산동)
내담,"월봉로 16 (화정동, 860-3 1층)"
투다리구이,대학길 151 (일산동)
한국피자헛 울산 일산본점,"방어진순환도로 680, 2층 (일산동)"
미스터차이나(Mr.China),남진길 45 (방어동)
빈대떡신사,대송2길 32 (화정동)
소담애,명덕3길 15 (서부동)
템포크생고기,대송로 15 (일산동)
보보스,명덕3길 15 (서부동)
페리카나치킨,화문로 75 (방어동)
해송초밥,해수욕장1길 4 (화정동)
수평선횟집,주전해안길 190 (주전동)
11바(BAR),"진성8길 143, 105호 (전하동, 건남아파트)"
대구반야월막창,"진성8길 143 (전하동,108호)"
만리장성,남목7길 1 (서부동)
나고야 일식,"방어진순환도로 683 (일산동, 467-13)"
황금어장횟집,대송1길 49 (화정동)
엘리펀트피자 울산동구점,대송로 109 (화정동)
식객단골집,해수욕장길 4 (화정동)
제주 도새기 생고기촌,"방어진순환도로 563 (화정동, 654-24)"
태화나루,대송로 11 (일산동)
해녀횟집,"주전해안길 236, 2층 (주전동)"
비턴 전하점,전하로 20 (전하동)
마조아치킨,번덕8길 119 (일산동)
옛날손짜장전문점,미포1길 24 (동부동)
닭사랑골뱅이,"대송로 6, 1층 (일산동)"
부강쌈밥숯불,옥류로 21 (서부동)
역전의 통닭,내진길 43 (방어동)
장터돼지국밥,북진5길 5 (방어동)
추억한잔,전하로 21 (전하동)
개성보쌈왕족발동구야식,학문로 23-1 (일산동)
9.9춘천닭갈비,대학길 83 (화정동)
처갓집양념치킨 동구서부점,명덕3길 6 (서부동)
석산정,옥류로 25 (서부동)
소문난푸전포차,대송로 11 (일산동)
장터한우국밥,내진길 74 (방어동)
복조래식당,바드래1길 1 (전하동)
예향정 에스(S),전하로 6 (전하동)
류길상피자샵,월봉로 71 (화정동)
대가곱창전골,대송1길 23 (화정동)
마운틴호프,"명덕5길 28 (서부동,(1층))"
동해추어탕,번덕8길 19 (일산동)
신불떡볶이,학문로 45 (화정동)
삼성관,동해안로 63 (동부동)
투다리,명덕5길 8 (서부동)
오가도식당,진성8길 142 (전하동)
페리카나통닭,전하로 29 (전하동)
